metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices,ent_earningsZ,pricesZ,ent_ratioZ,female_ent_ratioZ,estab_changeZ,finalZ
10580,"Albany-Schenectady-Troy, NY Metro Area",24725,474748,75068,13604,886188,3114,5.2080261528221286,10580,0.015351144452418674,0.22890326374595707,0.02073050345508391,-0.08140610545790934,98,0.07651897243887254,-0.1739991746921977,-0.011544587499687248,-0.783676628819934,0.2918946486306279,-0.059193608575690074
47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",45564,920890,56059,24932,1724388,8671,4.947822215465473,47260,0.014458462944534525,0.3477859778597786,-0.07059447983014862,-0.0014652730292077757,97.8,0.076143605187266,-0.11382019349489556,-0.14149995162534362,0.4604169534503626,-0.2916911106844276,-0.059513854127933453
24660,"Greensboro-High Point, NC Metro Area",22450,385229,60620,11007,761184,3357,5.827702483457891,24660,0.0144603670071888,0.30498773507767785,-0.0647921760391198,-0.2204492966617678,97.4,0.07623367042134341,0.006537768899704451,-0.14122276076458432,0.012538390325707041,-0.2546131749229904,-0.06070528335076423
15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area",27537,589507,59991,14519,1136856,3937,4.671191351417371,15380,0.012771186500313144,0.2711619257524623,0.0419063270336894,0.30541604452287224,98,0.0762212496732104,-0.1739991746921977,-0.38713136972108964,-0.34144471487416694,0.4272125938159565,-0.06308372914146054
13820,"Birmingham-Hoover, AL Metro Area",32789,549603,68205,17165,1149807,4584,5.96594268954136,13820,0.014928592363761919,0.2670550538887271,-0.0473469387755102,0.08194864048338368,97.5,0.07638345003118273,-0.02355172169894448,-0.073059147909481,-0.38442264456702047,-0.1431344571758702,-0.07346981197721908
16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",311223,5062374,65631,184475,9533895,55516,6.147767825925149,16980,0.0193493844855644,0.3009405068437458,0.002764394597583129,0.05449884943636946,100.1,0.07633262172324252,-0.8058784772638595,0.5705137779757865,-0.029815375815577763,0.17708745236983264,-0.07995831034694328
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",24525,439346,65828,12255,840550,3315,5.582160757125363,10900,0.014579739456308369,0.27050183598531213,0.02608695652173913,0.0703757525430766,98.6,0.0763365118462667,-0.35453611828409987,-0.12384468139933072,-0.3483524764369417,0.3261235049379569,-0.08547301605194556
32580,"McAllen-Edinburg-Mission, TX Metro Area",23533,358011,32017,10860,860661,2764,6.573261715422152,32580,0.012618208562953358,0.25451197053407,0.018543046357615896,0.5505099562894609,97.9,0.07566885220377796,-0.14390968409354876,-0.4094016905210617,-0.5156845325524331,0.2779163398998405,-0.10590465816679659
21340,"El Paso, TX Metro Area",23653,397273,54390,8430,842677,3301,5.953840306288119,21340,0.010003833022617207,0.3915776986951364,-0.0472636815920398,0.5338361617431385,97.8,0.07611064774905614,-0.11382019349489556,-0.7899989385932003,0.9186921472323578,-0.14260242634612175,-0.11357498676328606
44140,"Springfield, MA Metro Area",18762,316755,77094,6666,631652,2492,5.923189847042667,44140,0.010553279337356647,0.37383738373837383,-0.031201248049921998,-0.010180995475113122,98,0.07655897949088762,-0.1739991746921977,-0.7100112887216287,0.7330418434881895,-0.03996011382745958,-0.11357805267048049
39300,"Providence-Warwick, RI-MA Metro Area",46839,874135,72695,21250,1621122,5317,5.358325659080119,39300,0.013108205304721052,0.25021176470588236,0.05991855730075625,0.3157716606498195,98.7,0.07647211324122603,-0.38462560888275305,-0.33806862891464845,-0.5606856793816303,0.5423145155380007,-0.11531265063007326
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",120829,2752279,77893,79966,4836531,23968,4.39014358646053,14460,0.016533751153461024,0.2997273841382588,0.1295994199746239,0.3584719573936485,101.4,0.07657475719797552,-1.1970418550463213,0.16061769332952988,-0.04251056185379175,0.9875898136045786,-0.1184071598728588
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",16975,367739,56257,11701,738082,3488,4.616045619311523,30780,0.015853252077682425,0.2980941799846167,-0.11884368308351177,0.15424410806667943,97.7,0.07614751505710755,-0.08373070289624662,0.06155156011300371,-0.05960185070288355,-0.6000136189844486,-0.12354230470202981
48620,"Wichita, KS Metro Area",18190,327174,51006,8845,646542,2314,5.559732741599271,48620,0.013680472420971878,0.2616167326172979,-0.10072992700729927,-0.24681170292573143,97,0.07604382451903687,0.12689573129430873,-0.2547587576865699,-0.44133403528132853,-0.48426292609060695,-0.13866025599146825
25420,"Harrisburg-Carlisle, PA Metro Area",10892,299780,51923,8339,571903,2130,3.6333311094802854,25420,0.014581144005189691,0.2554263101091258,-0.059245960502693,-0.014229488343929762,98,0.07606193235057578,-0.1739991746921977,-0.12364020907667987,-0.5061160767359415,-0.21917169671278883,-0.15616135476903203
12260,"Augusta-Richmond County, GA-SC Metro Area",20526,279741,52147,6960,600600,2048,7.3375014745782705,12260,0.011588411588411588,0.2942528735632184,-0.06938775510204082,-0.6531150423030436,97.4,0.07606635563766925,0.006537768899704451,-0.5593181384592248,-0.09980066936225404,-0.28397988708050365,-0.16146507024672593
16860,"Chattanooga, TN-GA Metro Area",11441,271227,61950,6176,554876,1885,4.218237859800094,16860,0.011130414723289527,0.30521373056994816,-0.054613935969868174,-0.24314765694076038,97.6,0.07625993368846092,-0.053641212297593416,-0.62599270139088,0.014903406498590888,-0.18957209037383368,-0.1624629946546695
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",36204,648751,70415,18304,1210259,5680,5.580569432648273,25540,0.015124035433737738,0.3103146853146853,-0.11163522012578617,-0.1337318330989217,98.2,0.07642709049759602,-0.23417815588949983,-0.04460681065344828,0.0682842962998013,-0.5539500318109376,-0.16785096753022777
17900,"Columbia, SC Metro Area",21921,424733,47468,10824,825004,2197,5.161124753668775,17900,0.013119936388187209,0.20297487065779748,-0.053488372093023255,0.05389344262295082,97.3,0.07597396027914081,0.036627259498357656,-0.33636083368200576,-1.0550142045138806,-0.18237950159804844,-0.18306651760206344
32820,"Memphis, TN-MS-AR Metro Area",41597,666431,61744,14978,1346626,5015,6.241756460908931,32820,0.011122613108613675,0.3348244091333957,-0.10416666666666667,0.012741264034313107,97.6,0.07625586584408031,-0.053641212297593416,-0.6271284498823789,0.3247756654056643,-0.5062244118914415,-0.19503419633465963
45060,"Syracuse, NY Metro Area",19407,328859,61066,7765,654841,2374,5.901313328812653,45060,0.011857840300164468,0.3057308435286542,-0.07702888583218707,0.28352707683583783,98,0.0762424775018956,-0.1739991746921977,-0.5200950717411272,0.020314932623566866,-0.3328083118856915,-0.20550044037028725
19380,"Dayton, OH Metro Area",23659,402086,70466,8393,803416,1801,5.88406460309486,19380,0.010446642835094147,0.2145835815560586,-0.03759398496240601,-0.49468233977050097,97.2,0.07642809758528249,0.06671675009700659,-0.7255352862036152,-0.9335304140855224,-0.08081104082430725,-0.21932166226797825
