metropolitan_statistical_area_micropolitan_statistical_area,NAME,B23025_005E,B23025_002E,ent_earnings,number_ents,B01003_001E,number_female_ents,unemployment_rate,geoid,ent_ratio,female_ent_ratio,estab_change,job_change,prices
40060,"Richmond, VA Metro Area",35293,692991,65552,21855,1301540,7021,5.092851133708807,40060,0.016791646818384375,0.3212537176847403,-0.026658400495970243,-0.26045340050377835,97.7
40080,"Richmond-Berea, KY Micro Area",3233,55290,60182,1504,108625,357,5.847350334599385,40080,0.013845799769850403,0.23736702127659576,NA,NA,NA
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",168005,2125986,62291,57326,4580670,20047,7.90245090983666,40140,0.01251476312417179,0.3497017060321669,0.007666290868094701,0.06611444638650353,101.6
40220,"Roanoke, VA Metro Area",6618,156168,51085,4924,312688,1831,4.237743968034424,40220,0.015747326408432686,0.37185215272136474,-0.12912087912087913,0.27956457199406237,97
40260,"Roanoke Rapids, NC Micro Area",1770,26606,40575,422,71172,194,6.652634744042698,40260,0.005929298038554488,0.4597156398104265,NA,NA,NA
40340,"Rochester, MN Metro Area",3617,118816,51838,3810,218280,925,3.0442028009695665,40340,0.017454645409565695,0.24278215223097113,-0.13537117903930132,-0.02465331278890601,96.1
40380,"Rochester, NY Metro Area",28356,559378,52438,14591,1077948,5047,5.069201863498385,40380,0.013535903401648317,0.34589815639777943,0.015342960288808664,0.3892761394101877,98
40420,"Rockford, IL Metro Area",16179,174947,60565,3561,338291,1128,9.247943662937919,40420,0.01052644025410076,0.3167649536647009,-0.17052023121387283,0.17124735729386892,97.2
40580,"Rocky Mount, NC Metro Area",4525,68769,31768,2090,146738,777,6.579999709171283,40580,0.014243072687374778,0.37177033492822964,-0.010309278350515464,-0.11969111969111969,97.9
40660,"Rome, GA Metro Area",2575,44885,65757,1156,97613,391,5.736883145817088,40660,0.011842684888283323,0.3382352941176471,-0.3392857142857143,-0.5587808417997098,91.3
40700,"Roseburg, OR Micro Area",2182,46223,50962,1814,109405,496,4.7205936438569545,40700,0.016580595036789908,0.27342888643880925,NA,NA,NA
40740,"Roswell, NM Micro Area",1573,28084,80061,850,64866,289,5.6010539809144,40740,0.01310393734776308,0.34,NA,NA,NA
40780,"Russellville, AR Micro Area",2632,38602,36005,1419,85358,360,6.818299569970468,40780,0.016624100845849248,0.2536997885835095,NA,NA,NA
40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",67890,1139017,80561,31040,2324884,9396,5.960402698116007,40900,0.013351203758983243,0.3027061855670103,-0.10684474123539232,-0.2317185697808535,95.4
40980,"Saginaw, MI Metro Area",6427,88456,67371,2466,191934,671,7.265759247535499,40980,0.012848166557254057,0.27210056772100566,0.1506849315068493,-0.296218487394958,97.2
41060,"St. Cloud, MN Metro Area",4661,113454,70948,4489,197759,1162,4.108272956440496,41060,0.022699346173878306,0.2588549788371575,-0.045454545454545456,-0.7361027493477824,97.2
41100,"St. George, UT Metro Area",2692,72640,62105,4325,165662,1719,3.7059471365638768,41100,0.026107375258055558,0.39745664739884395,0.17687074829931973,-0.12403528114663727,99.4
41140,"St. Joseph, MO-KS Metro Area",2781,59616,80366,1382,127092,413,4.664855072463768,41140,0.010874012526358858,0.2988422575976845,0.27205882352941174,0.19057377049180327,96.8
41180,"St. Louis, MO-IL Metro Area",73232,1477767,56905,42873,2807216,13914,4.955585014417022,41180,0.015272426489447197,0.32453992022951506,0.5075454265475824,-0.014034738466132485,94.3
41400,"Salem, OH Micro Area",2572,44749,77866,1318,103077,253,5.747614471831772,41400,0.012786557621971924,0.19195751138088013,NA,NA,NA
41420,"Salem, OR Metro Area",9615,198299,49249,6282,424982,1862,4.848738521122144,41420,0.014781802523400991,0.29640241961158864,0.04112554112554113,-0.017035775127768313,99
41500,"Salinas, CA Metro Area",10230,207323,85267,5003,437907,1311,4.93432952446183,41500,0.011424800242973964,0.26204277433539874,0.11330049261083744,0.25279642058165547,95.4
41540,"Salisbury, MD-DE Metro Area",12340,195664,50766,11072,405853,3195,6.306729904325784,41540,0.027280813496512284,0.2885657514450867,0.05405405405405406,0.5009708737864078,91.3
41620,"Salt Lake City, UT Metro Area",24218,652001,78169,26541,1203105,7825,3.714411480963986,41620,0.022060418666699912,0.2948268716325685,0.019417475728155338,0.22380486067835842,95.6
41660,"San Angelo, TX Metro Area",3301,61692,55603,2090,119317,881,5.350774816832004,41660,0.017516363971605053,0.4215311004784689,0.2765957446808511,0.44114285714285717,97.8
41700,"San Antonio-New Braunfels, TX Metro Area",62636,1214856,52232,31576,2473974,10383,5.15583739965889,41700,0.012763270753855941,0.32882569039777043,0.15558510638297873,-4.130037170334533e-4,97.5
41740,"San Diego-Carlsbad, CA Metro Area",100116,1785209,69976,66531,3337685,22023,5.60808286312695,41740,0.019933277106737153,0.3310186228975966,0.08185192420394609,0.1930977130977131,100.1
41780,"Sandusky, OH Micro Area",1206,38754,65851,1156,74817,316,3.1119368323269856,41780,0.01545103385594183,0.27335640138408307,-0.12727272727272726,-0.264,NA
41860,"San Francisco-Oakland-Hayward, CA Metro Area",115764,2629341,86022,85089,4727357,27451,4.402776208943609,41860,0.01799927528215026,0.32261514414319126,0.1741249446167479,0.16366661212022038,110.7
